model,best_params,auc_roc,precision,recall,f1
LogisticRegression,"{'C': 10, 'solver': 'liblinear'}",0.9699671898866469,0.055970149253731345,0.9183673469387755,0.10550996483001172
RandomForest,"{'max_depth': 10, 'n_estimators': 50}",0.9782400615001206,0.44919786096256686,0.8571428571428571,0.5894736842105263
XGBoost,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100}",0.9743085543164931,0.22081218274111675,0.8877551020408163,0.35365853658536583
LightGBM,"{'learning_rate': 0.1, 'max_depth': 10, 'min_child_samples': 5, 'n_estimators': 100, 'num_leaves': 63}",0.9346164640588931,0.543046357615894,0.8367346938775511,0.6586345381526104
