,precision,recall,f1-score,support
0,0.9997534125935711,0.9981886606640406,0.9989704238861659,56864.0
1,0.44919786096256686,0.8571428571428571,0.5894736842105263,98.0
accuracy,0.9979459990871107,0.9979459990871107,0.9979459990871107,0.9979459990871107
macro avg,0.7244756367780689,0.9276657589034488,0.794222054048346,56962.0
weighted avg,0.9988062119324315,0.9979459990871107,0.9982659071822544,56962.0
